ReleaseYear,NumApps
"July 3, 2017",4
"May 27, 2016",4
"January 18, 2018",4
"January 23, 2017",4
"October 19, 2016",4
"January 9, 2017",4
"October 26, 2016",4
"July 29, 2017",4
"July 25, 2017",4
"June 17, 2018",4
"August 28, 2017",4
"July 5, 2017",4
"February 3, 2017",4
"April 5, 2017",4
"June 18, 2015",4
"September 5, 2017",4
"April 11, 2017",4
"February 4, 2018",4
"March 28, 2017",4
"January 27, 2017",4
"June 18, 2017",4
"October 18, 2016",4
"April 28, 2018",4
"August 18, 2016",4
"June 13, 2016",4
"February 12, 2018",4
"April 26, 2017",4
"March 6, 2017",4
"June 26, 2017",4
"July 22, 2017",4
"April 4, 2017",4
"November 21, 2016",4
"March 14, 2015",4
"August 4, 2016",4
"June 25, 2017",4
"September 6, 2016",4
"September 16, 2016",4
"October 30, 2017",4
"April 25, 2017",4
"May 8, 2017",4
"September 18, 2017",4
"July 22, 2016",4
"March 3, 2017",4
"May 29, 2017",4
"March 7, 2018",4
"January 16, 2017",4
"December 15, 2017",4
"July 14, 2017",4
"November 8, 2017",4
"June 27, 2017",4
"March 2, 2017",4
"April 22, 2014",4
"December 26, 2017",4
"April 23, 2017",4
"April 7, 2018",4
"April 28, 2016",4
"December 29, 2017",4
"April 22, 2016",4
"May 3, 2017",4
"September 7, 2017",4
"June 3, 2017",4
"July 15, 2016",4
"May 5, 2018",4
"October 3, 2017",4
"September 1, 2015",4
"March 1, 2017",4
"January 21, 2018",4
"July 13, 2016",3
"August 12, 2017",3
"January 18, 2015",3
"August 20, 2015",3
"September 29, 2016",3
"April 3, 2015",3
"May 18, 2017",3
"February 11, 2015",3
"December 7, 2016",3
"December 1, 2016",3
"September 27, 2016",3
"January 19, 2016",3
"October 13, 2015",3
"August 23, 2017",3
"April 25, 2016",3
"November 9, 2015",3
"June 15, 2017",3
"August 11, 2017",3
"September 12, 2016",3
"November 16, 2016",3
"February 24, 2016",3
"October 8, 2016",3
"November 14, 2015",3
"January 19, 2017",3
"August 31, 2016",3
"February 27, 2017",3
"July 26, 2015",3
"March 30, 2017",3
"May 30, 2015",3
"March 7, 2017",3
"February 26, 2017",3
"May 4, 2016",3
"September 24, 2015",3
"April 28, 2017",3
"May 16, 2017",3
"December 13, 2013",3
"January 23, 2018",3
"October 8, 2015",3
"February 10, 2018",3
"November 13, 2017",3
"October 20, 2017",3
"May 10, 2017",3
"March 22, 2017",3
"May 23, 2017",3
"June 23, 2018",3
"September 10, 2016",3
"October 11, 2017",3
"January 8, 2015",3
"September 13, 2016",3
"January 11, 2018",3
"October 5, 2017",3
"October 26, 2015",3
"January 10, 2018",3
"August 24, 2015",3
"November 19, 2017",3
"December 8, 2016",3
"November 20, 2017",3
"December 21, 2016",3
"July 29, 2016",3
"March 21, 2017",3
"August 5, 2016",3
"April 1, 2017",3
"February 8, 2018",3
"November 23, 2017",3
"September 28, 2017",3
"April 27, 2017",3
"October 28, 2016",3
"July 29, 2015",3
"October 27, 2016",3
"October 15, 2017",3
"November 21, 2014",3
"November 12, 2017",3
"May 26, 2014",3
"May 1, 2017",3
"March 14, 2016",3
"November 30, 2017",3
"February 25, 2017",3
"November 26, 2015",3
"January 1, 2018",3
"November 15, 2014",3
"July 28, 2015",3
"July 18, 2017",3
"May 22, 2017",3
"January 6, 2017",3
"February 4, 2017",3
"May 17, 2017",3
"February 11, 2018",3
"July 7, 2016",3
"April 10, 2016",3
"April 21, 2018",3
"March 18, 2016",3
"July 12, 2017",3
"February 2, 2018",3
"December 31, 2016",3
"July 4, 2017",3
"July 6, 2017",3
"June 22, 2016",3
"May 6, 2013",3
"October 25, 2016",3
"October 6, 2016",3
"October 22, 2017",3
"July 26, 2016",3
"March 10, 2016",3
"December 23, 2015",3
"August 9, 2017",3
"October 16, 2017",3
"July 18, 2016",3
"January 5, 2017",3
"June 6, 2017",3
"April 20, 2015",3
"October 28, 2017",3
"February 25, 2016",3
"February 22, 2018",3
"March 24, 2018",3
"October 20, 2016",3
"October 21, 2017",3
"December 30, 2017",3
"November 3, 2016",3
"July 28, 2017",3
"June 5, 2014",3
"December 17, 2017",3
"July 21, 2016",3
"November 7, 2016",3
"March 16, 2017",3
"August 1, 2017",3
"June 20, 2017",3
"December 16, 2016",3
"December 20, 2016",3
"October 15, 2015",3
"February 8, 2017",3
"November 9, 2017",3
"November 11, 2015",3
"May 12, 2017",3
"January 7, 2018",3
"February 5, 2018",3
"July 19, 2016",3
"March 3, 2018",3
"September 15, 2017",3
"October 5, 2015",3
"June 28, 2017",3
"July 5, 2016",3
"May 4, 2015",3
"April 21, 2017",2
"September 17, 2015",2
"June 21, 2017",2
"April 10, 2015",2
"June 9, 2015",2
"July 16, 2016",2
"October 13, 2017",2
"July 24, 2017",2
"August 6, 2016",2
"October 29, 2017",2
"November 26, 2017",2
"October 5, 2016",2
"March 4, 2015",2
"February 20, 2015",2
"October 12, 2016",2
"March 11, 2015",2
"October 22, 2013",2
"November 16, 2017",2
"December 7, 2015",2
"February 15, 2017",2
"December 11, 2015",2
"March 15, 2016",2
"March 1, 2016",2
"August 15, 2016",2
"July 11, 2016",2
"June 28, 2015",2
"November 2, 2016",2
"March 16, 2016",2
"October 12, 2015",2
"October 24, 2017",2
"February 29, 2016",2
"April 8, 2018",2
"May 5, 2017",2
"February 22, 2016",2
"March 9, 2015",2
"May 26, 2017",2
"July 28, 2016",2
